region,county
Northern California,Del Norte
Northern California,Humboldt
Northern California,Lake
Northern California,Lassen
Northern California,Mendocino
Northern California,Modoc
Northern California,Nevada
Northern California,Plumas
Northern California,Sierra
Northern California,Siskiyou and Trinity
Northern Sacramento Valley,Butte
Northern Sacramento Valley,Colusa
Northern Sacramento Valley,Glenn
Northern Sacramento Valley,Shasta
Northern Sacramento Valley,Tehama
Greater Sacramento,El Dorado
Greater Sacramento,Placer
Greater Sacramento,Sacramento
Greater Sacramento,Sutter
Greater Sacramento,Yolo
Greater Sacramento,Yuba
Bay Area,Alameda
Bay Area,Contra Costa
Bay Area,Marin
Bay Area,Napa
Bay Area,San Benito
Bay Area,San Francisco
Bay Area,San Mateo
Bay Area,Santa Clara
Bay Area,Santa Cruz
Bay Area,Solano
Bay Area,Sonoma
Central Coast,Monterey
Central Coast,San Luis Obispo
Central Coast,Santa Barbara
San Joaquin Valley ,Fresno
San Joaquin Valley ,Kern
San Joaquin Valley ,Kings
San Joaquin Valley ,Madera
San Joaquin Valley ,Merced
San Joaquin Valley ,San Joaquin
San Joaquin Valley ,Stanislaus
San Joaquin Valley ,Tulare
Central Sierra,Alpine
Central Sierra,Amador
Central Sierra,Calaveras
Central Sierra,Inyo
Central Sierra,Mariposa
Central Sierra,Mono
Central Sierra,Tuolumne
Southern California,Los Angeles
Southern California,Orange
Southern California,Riverside
Southern California,San Bernardino
Southern California,Ventura
Southern Border,San Diego
Southern Border,Imperial
