zip,area_name
90001,Florence-Graham
90002,Los Angeles
90003,Los Angeles
90004,Los Angeles
90005,Los Angeles
90006,Los Angeles
90007,Los Angeles
90008,Los Angeles
90010,Los Angeles
90011,Los Angeles
90012,Los Angeles
90013,Los Angeles
90014,Los Angeles
90015,Los Angeles
90016,Los Angeles
90017,Los Angeles
90018,Los Angeles
90019,Los Angeles
90020,Los Angeles
90021,Los Angeles
90022,East Los Angeles
90023,Los Angeles
90024,Los Angeles
90025,Los Angeles
90026,Los Angeles
90027,Los Angeles
90028,Los Angeles
90029,Los Angeles
90031,Los Angeles
90032,Los Angeles
90033,Los Angeles
90034,Los Angeles
90035,Los Angeles
90036,Los Angeles
90037,Los Angeles
90038,Los Angeles
90039,Los Angeles
90040,Commerce
90041,Los Angeles
90042,Los Angeles
90043,Los Angeles
90044,Los Angeles
90045,Los Angeles
90046,Los Angeles
90047,Los Angeles
90048,Los Angeles
90049,Los Angeles
90056,Ladera Heights
90057,Los Angeles
90058,Los Angeles
90059,Los Angeles
90061,Los Angeles
90062,Los Angeles
90063,East Los Angeles
90064,Los Angeles
90065,Los Angeles
90066,Los Angeles
90067,Los Angeles
90068,Los Angeles
90069,West Hollywood
90071,Los Angeles
90073,Los Angeles
90077,Los Angeles
90079,Los Angeles
90089,Los Angeles
90090,Dodgertown
90094,Los Angeles
90095,Ucla
90201,Bell Gardens
90210,Beverly Hills
90211,Beverly Hills
90212,Beverly Hills
90220,Compton
90221,Compton
90222,Willowbrook
90230,Culver City
90232,Culver City
90240,Downey
90241,Downey
90242,Downey
90245,El Segundo
90247,Gardena
90248,Los Angeles
90249,Gardena
90250,Hawthorne
90254,Hermosa Beach
90255,Huntington Park
90260,Lawndale
90262,Lynwood
90263,Malibu
90265,Malibu
90266,Manhattan Beach
90270,Maywood
90272,Los Angeles
90274,Palos Verdes Estates
90275,Rancho Palos Verdes
90277,Redondo Beach
90278,Redondo Beach
90280,South Gate
90290,Topanga
90291,Los Angeles
90292,Los Angeles
90293,Los Angeles
90301,Inglewood
90302,Inglewood
90303,Inglewood
90304,Lennox
90305,Inglewood
90401,Santa Monica
90402,Santa Monica
90403,Santa Monica
90404,Santa Monica
90405,Santa Monica
90501,Torrance
90502,West Carson
90503,Torrance
90504,Torrance
90505,Torrance
90506,Torrance
90601,Whittier
90602,Whittier
90603,Whittier
90604,South Whittier
90605,South Whittier
90606,West Whittier-Los Nietos
90620,Buena Park
90621,Buena Park
90623,La Palma
90630,Cypress
90631,La Habra
90638,La Mirada
90640,Montebello
90650,Norwalk
90660,Pico Rivera
90670,Santa Fe Springs
90680,Stanton
90701,Artesia
90703,Cerritos
90704,Avalon
90706,Bellflower
90710,Los Angeles
90712,Lakewood
90713,Lakewood
90715,Lakewood
90716,Hawaiian Gardens
90717,Lomita
90720,Los Alamitos
90723,Paramount
90731,Los Angeles
90732,Los Angeles
90740,Seal Beach
90742,Sunset Beach
90743,Seal Beach
90744,Los Angeles
90745,Carson
90746,Carson
90747,C S U Dom Hls
90755,Signal Hill
90802,Long Beach
90803,Long Beach
90804,Long Beach
90805,Long Beach
90806,Long Beach
90807,Long Beach
90808,Long Beach
90810,Long Beach
90813,Long Beach
90814,Long Beach
90815,Long Beach
90822,Long Beach
90831,Long Beach
91001,Altadena
91006,Arcadia
91007,Arcadia
91008,Bradbury
91010,Duarte
91011,La Ca±ada Flintridge
91016,Monrovia
91020,La Crescenta-Montrose
91024,Sierra Madre
91030,South Pasadena
91040,Los Angeles
91042,Los Angeles
91046,Glendale
91101,Pasadena
91103,Pasadena
91104,Pasadena
91105,Pasadena
91106,Pasadena
91107,Pasadena
91108,San Marino
91201,Glendale
91202,Glendale
91203,Glendale
91204,Glendale
91205,Glendale
91206,Glendale
91207,Glendale
91208,Glendale
91210,Glendale
91214,Glendale
91301,Agoura Hills
91302,Calabasas
91303,Los Angeles
91304,Los Angeles
91306,Los Angeles
91307,Los Angeles
91311,Los Angeles
91316,Los Angeles
91321,Santa Clarita
91324,Los Angeles
91325,Los Angeles
91326,Los Angeles
91330,Los Angeles
91331,Los Angeles
91335,Los Angeles
91340,San Fernando
91342,Los Angeles
91343,Los Angeles
91344,Los Angeles
91345,Los Angeles
91350,Santa Clarita
91351,Santa Clarita
91352,Los Angeles
91354,Santa Clarita
91355,Santa Clarita
91356,Los Angeles
91364,Los Angeles
91367,Los Angeles
91371,Pierce College
91381,Stevenson Ranch
91384,Castaic
91387,Santa Clarita
91390,Santa Clarita
91401,Los Angeles
91402,Los Angeles
91403,Los Angeles
91405,Los Angeles
91406,Los Angeles
91411,Los Angeles
91423,Los Angeles
91436,Los Angeles
91501,Burbank
91502,Burbank
91504,Burbank
91505,Burbank
91506,Burbank
91601,Los Angeles
91602,Los Angeles
91604,Los Angeles
91605,Los Angeles
91606,Los Angeles
91607,Los Angeles
91608,Universal City
91702,Azusa
91706,Baldwin Park
91711,Claremont
91722,Covina
91723,Covina
91724,Covina
91731,El Monte
91732,El Monte
91733,El Monte
91740,Glendora
91741,Glendora
91744,La Puente
91745,Hacienda Heights
91746,West Puente Valley
91748,Rowland Heights
91750,La Verne
91754,Monterey Park
91755,Monterey Park
91765,Diamond Bar
91766,Pomona
91767,Pomona
91768,Pomona
91770,Rosemead
91773,San Dimas
91775,East San Gabriel
91776,San Gabriel
91780,Temple City
91789,Walnut
91790,West Covina
91791,West Covina
91792,West Covina
91801,Alhambra
91803,Alhambra
92602,Irvine
92603,Irvine
92604,Irvine
92606,Irvine
92610,Lake Forest
92612,Irvine
92614,Irvine
92617,Irvine
92618,Irvine
92620,Irvine
92624,Dana Point
92625,Newport Beach
92626,Costa Mesa
92627,Costa Mesa
92629,Dana Point
92630,Lake Forest
92637,Laguna Woods
92646,Huntington Beach
92647,Huntington Beach
92648,Huntington Beach
92649,Huntington Beach
92651,Laguna Beach
92653,Laguna Hills
92655,Midway City
92656,Aliso Viejo
92657,Newport Beach
92660,Newport Beach
92661,Newport Beach
92662,Newport Beach
92663,Newport Beach
92672,San Clemente
92673,San Clemente
92675,San Juan Capistrano
92676,Silverado
92677,Laguna Niguel
92678,Trabuco Canyon
92679,Coto de Caza
92683,Westminster
92688,Rancho Santa Margarita
92691,Mission Viejo
92692,Mission Viejo
92694,Ladera Ranch
92701,Santa Ana
92703,Santa Ana
92704,Santa Ana
92705,Santa Ana
92706,Santa Ana
92707,Santa Ana
92708,Fountain Valley
92780,Tustin
92782,Tustin
92801,Anaheim
92802,Anaheim
92804,Anaheim
92805,Anaheim
92806,Anaheim
92807,Anaheim
92808,Anaheim
92821,Brea
92823,Brea
92831,Fullerton
92832,Fullerton
92833,Fullerton
92835,Fullerton
92840,Garden Grove
92841,Garden Grove
92843,Garden Grove
92844,Garden Grove
92845,Garden Grove
92861,Villa Park
92865,Orange
92866,Orange
92867,Orange
92868,Orange
92869,Orange
92870,Placentia
92886,Yorba Linda
92887,Yorba Linda
93510,Acton
93532,Elizabeth Lake
93534,Lancaster
93535,Lancaster
93536,Lancaster
93543,Sun Village
93544,Llano
93550,Palmdale
93551,Palmdale
93552,Palmdale
93553,Pearblossom
93563,Valyermo
93591,Lake Los Angeles
