zip,area_name
93203,Arvin
93205,Bodfish
93206,Buttonwillow
93215,Delano
93220,Edison
93222,Pine Mountain Club
93224,Derby Acres
93225,Frazier Park
93226,Glennville
93238,Kernville
93240,Lake Isabella
93241,Lamont
93243,Lebec
93249,Lost Hills
93250,McFarland
93251,Mc Kittrick
93252,Taft
93255,Onyx
93263,Shafter
93268,Taft
93276,Tupman
93280,Wasco
93283,Weldon
93285,Wofford Heights
93287,Woody
93301,Bakersfield
93304,Bakersfield
93305,Bakersfield
93306,Bakersfield
93307,Bakersfield
93308,Oildale
93309,Bakersfield
93311,Bakersfield
93312,Bakersfield
93313,Bakersfield
93314,Rosedale
93501,Mojave
93505,California City
93516,Boron
93518,Caliente
93519,Cantil
93523,Edwards AFB
93524,Edwards AFB
93527,Inyokern
93528,Johannesburg
93531,Keene
93554,Randsburg
93555,Ridgecrest
93558,Red Mountain
93560,Rosamond
93561,Tehachapi
