zip,area_name
94002,Belmont
94005,Brisbane
94010,Burlingame
94014,Daly City
94015,Daly City
94019,Half Moon Bay
94020,La Honda
94021,Loma Mar
94025,Menlo Park
94027,Atherton
94028,Portola Valley
94030,Millbrae
94037,Montara
94038,Moss Beach
94044,Pacifica
94060,Pescadero
94061,Redwood City
94062,Redwood City
94063,Redwood City
94065,Redwood City
94066,San Bruno
94070,San Carlos
94074,San Gregorio
94080,South San Francisco
94102,San Francisco
94103,San Francisco
94104,San Francisco
94105,San Francisco
94107,San Francisco
94108,San Francisco
94109,San Francisco
94110,San Francisco
94111,San Francisco
94112,San Francisco
94114,San Francisco
94115,San Francisco
94116,San Francisco
94117,San Francisco
94118,San Francisco
94121,San Francisco
94122,San Francisco
94123,San Francisco
94124,San Francisco
94127,San Francisco
94128,South San Francisco
94129,San Francisco
94130,San Francisco
94131,San Francisco
94132,San Francisco
94133,San Francisco
94134,San Francisco
94158,San Francisco
94401,San Mateo
94402,San Mateo
94403,San Mateo
94404,Foster City
94501,Alameda
94502,Alameda
94505,Discovery Bay
94506,Danville
94507,Alamo
94509,Antioch
94511,Bethel Island
94513,Brentwood
94514,Byron
94516,Canyon
94517,Clayton
94518,Concord
94519,Concord
94520,Concord
94521,Concord
94523,Pleasant Hill
94525,Crockett
94526,Danville
94528,Diablo
94530,El Cerrito
94531,Antioch
94536,Fremont
94538,Fremont
94539,Fremont
94541,Hayward
94542,Hayward
94544,Hayward
94545,Hayward
94546,Castro Valley
94547,Hercules
94548,Knightsen
94549,Lafayette
94550,Livermore
94551,Livermore
94552,Castro Valley
94553,Martinez
94555,Fremont
94556,Moraga
94560,Newark
94561,Oakley
94563,Orinda
94564,Pinole
94565,Pittsburg
94566,Pleasanton
94568,Dublin
94569,Port Costa
94572,Rodeo
94575,Moraga
94577,San Leandro
94578,San Leandro
94579,San Leandro
94580,San Lorenzo
94582,San Ramon
94583,San Ramon
94586,Sunol
94587,Union City
94588,Pleasanton
94595,Walnut Creek
94596,Walnut Creek
94597,Walnut Creek
94598,Walnut Creek
94601,Oakland
94602,Oakland
94603,Oakland
94605,Oakland
94606,Oakland
94607,Oakland
94608,Oakland
94609,Oakland
94610,Oakland
94611,Oakland
94612,Oakland
94613,Oakland
94618,Oakland
94619,Oakland
94621,Oakland
94702,Berkeley
94703,Berkeley
94704,Berkeley
94705,Berkeley
94706,Albany
94707,Berkeley
94708,Berkeley
94709,Berkeley
94710,Berkeley
94720,Berkeley
94801,Richmond
94803,El Sobrante
94804,Richmond
94805,Richmond
94806,San Pablo
94850,Richmond
94901,San Rafael
94903,San Rafael
94904,Kentfield
94920,Tiburon
94924,Bolinas
94925,Corte Madera
94929,Dillon Beach
94930,Fairfax
94933,Lagunitas-Forest Knolls
94937,Inverness
94938,Lagunitas-Forest Knolls
94939,Larkspur
94940,Marshall
94941,Mill Valley
94945,Novato
94946,Nicasio
94947,Novato
94949,Novato
94950,Olema
94956,Point Reyes Station
94957,Ross
94960,San Anselmo
94963,San Geronimo
94964,San Quentin
94965,Sausalito
94970,Stinson Beach
94971,Tomales
94973,Woodacre
