zip,area_name
93210,Coalinga
93234,Huron
93242,Laton
93602,Auberry
93605,Big Creek
93606,Biola
93608,Cantua Creek
93609,Caruthers
93611,Clovis
93612,Clovis
93616,Del Rey
93619,Clovis
93621,Dunlap
93622,Firebaugh
93624,Five Points
93625,Fowler
93626,Friant
93627,Helm
93628,Hume
93630,Kerman
93631,Kingsburg
93634,Lakeshore
93640,Mendota
93641,Miramonte
93646,Orange Cove
93648,Parlier
93650,Fresno
93651,Prather
93652,Raisin City
93654,Reedley
93656,Riverdale
93657,Sanger
93660,San Joaquin
93662,Selma
93664,Shaver Lake
93667,Tollhouse
93668,Tranquillity
93675,Squaw Valley
93701,Fresno
93702,Fresno
93703,Fresno
93704,Fresno
93705,Fresno
93706,Fresno
93710,Fresno
93711,Fresno
93720,Fresno
93721,Fresno
93722,Fresno
93723,Fresno
93725,Fresno
93726,Fresno
93727,Fresno
93728,Fresno
93730,Fresno
