zip,area_name
91701,Rancho Cucamonga
91708,Chino
91709,Chino Hills
91710,Chino
91730,Rancho Cucamonga
91737,Rancho Cucamonga
91739,Rancho Cucamonga
91752,Mira Loma
91759,Mt Baldy
91761,Ontario
91762,Ontario
91763,Montclair
91764,Ontario
91784,Upland
91786,Upland
92201,Indio
92203,Indio
92210,Indian Wells
92211,Palm Desert
92220,Banning
92223,Beaumont
92225,Blythe
92230,Cabazon
92234,Cathedral City
92236,Coachella
92239,Desert Center
92240,Desert Hot Springs
92241,Desert Edge
92242,Big River
92252,Joshua Tree
92253,La Quinta
92254,Mecca
92256,Morongo Valley
92258,North Palm Springs
92260,Palm Desert
92262,Palm Springs
92264,Palm Springs
92267,Parker Dam
92268,Pioneertown
92270,Rancho Mirage
92274,Oasis
92276,Thousand Palms
92277,Twentynine Palms
92278,Twentynine Palms
92280,Vidal
92282,Whitewater
92284,Yucca Valley
92285,Homestead Valley
92301,Adelanto
92304,Amboy
92305,Angelus Oaks
92307,Apple Valley
92308,Apple Valley
92309,Baker
92310,Fort Irwin
92311,Barstow
92313,Grand Terrace
92314,Big Bear City
92315,Big Bear Lake
92316,Bloomington
92320,Calimesa
92321,Lake Arrowhead
92322,Crestline
92324,Colton
92325,Crestline
92327,Daggett
92332,Essex
92333,Fawnskin
92335,Fontana
92336,Fontana
92337,Fontana
92338,Ludlow
92339,Forest Falls
92341,Green Valley Lake
92342,Silver Lakes
92344,Hesperia
92345,Hesperia
92346,Highland
92347,Hinkley
92352,Lake Arrowhead
92354,Loma Linda
92356,Lucerne Valley
92358,Lytle Creek
92359,Mentone
92363,Needles
92364,Nipton
92365,Newberry Springs
92368,Oro Grande
92371,Phelan
92372,Pi±on Hills
92373,Redlands
92374,Redlands
92376,Rialto
92377,Rialto
92378,Lake Arrowhead
92382,Running Springs
92385,Lake Arrowhead
92386,Big Bear City
92391,Lake Arrowhead
92392,Victorville
92394,Victorville
92395,Victorville
92397,Wrightwood
92398,Yermo
92399,Yucaipa
92401,San Bernardino
92404,San Bernardino
92405,San Bernardino
92407,San Bernardino
92408,San Bernardino
92410,San Bernardino
92411,San Bernardino
92501,Riverside
92503,Riverside
92504,Riverside
92505,Riverside
92506,Riverside
92507,Riverside
92508,Riverside
92509,Rubidoux
92518,March ARB
92530,Lake Elsinore
92532,Lake Elsinore
92536,Aguanga
92539,Anza
92543,Hemet
92544,East Hemet
92545,Hemet
92548,Homeland
92549,Idyllwild-Pine Cove
92551,Moreno Valley
92553,Moreno Valley
92555,Moreno Valley
92557,Moreno Valley
92561,Mountain Center
92562,Murrieta
92563,Murrieta
92567,Nuevo
92570,Mead Valley
92571,Perris
92582,San Jacinto
92583,San Jacinto
92584,Menifee
92585,Menifee
92586,Menifee
92587,Canyon Lake
92590,Temecula
92591,Temecula
92592,Temecula
92595,Wildomar
92596,French Valley
92860,Norco
92879,Corona
92880,Eastvale
92881,Corona
92882,Corona
92883,Temescal Valley
93562,Searles Valley
93592,Homewood Canyon
