zip,area_name
95602,Auburn
95603,Auburn
95604,Auburn
95605,West Sacramento
95606,Brooks
95607,Capay
95608,Carmichael
95610,Citrus Heights
95612,Clarksburg
95614,Auburn Lake Trails
95615,Courtland
95616,Davis
95618,Davis
95619,Diamond Springs
95621,Citrus Heights
95623,El Dorado
95624,Elk Grove
95626,Elverta
95627,Esparto
95628,Fair Oaks
95630,Folsom
95631,Foresthill
95632,Galt
95633,Garden Valley
95634,Georgetown
95635,Greenwood
95636,Grizzly Flats
95637,Guinda
95638,Clay
95639,Hood
95641,Isleton
95645,Knights Landing
95648,Lincoln
95650,Loomis
95651,Lotus
95652,McClellan Park
95653,Madison
95655,Mather
95658,Newcastle
95660,North Highlands
95661,Roseville
95662,Orangevale
95663,Penryn
95664,Pilot Hill
95667,Placerville
95670,Rancho Cordova
95672,Rescue
95673,Rio Linda
95677,Rocklin
95678,Roseville
95679,Rumsey
95680,Ryde
95681,Sheridan
95682,Cameron Park
95683,Rancho Murieta
95684,Somerset
95690,Walnut Grove
95691,West Sacramento
95693,Wilton
95694,Winters
95695,Woodland
95697,Yolo
95698,Zamora
95701,Alta
95703,Applegate
95709,Camino
95713,Colfax
95714,Dutch Flat
95715,Emigrant Gap
95717,Gold Run
95720,Kyburz
95721,Echo Lake
95722,Meadow Vista
95726,Pollock Pines
95735,Twin Bridges
95736,Weimar
95742,Rancho Cordova
95746,Granite Bay
95747,Roseville
95757,Elk Grove
95758,Elk Grove
95762,El Dorado Hills
95765,Rocklin
95776,Woodland
95811,Sacramento
95814,Sacramento
95815,Sacramento
95816,Sacramento
95817,Sacramento
95818,Sacramento
95819,Sacramento
95820,Sacramento
95821,Arden-Arcade
95822,Sacramento
95823,Sacramento
95824,Sacramento
95825,Arden-Arcade
95826,Rosemont
95827,Rancho Cordova
95828,Florin
95829,Vineyard
95830,Vineyard
95831,Sacramento
95832,Sacramento
95833,Sacramento
95834,Sacramento
95835,Sacramento
95837,Sacramento
95838,Sacramento
95841,North Highlands
95842,Foothill Farms
95843,Antelope
95864,Arden-Arcade
95937,Dunnigan
96140,Carnelian Bay
96141,Homewood
96142,Tahoma
96143,Kings Beach
96145,Sunnyside-Tahoe City
96146,Olympic Valley
96148,Tahoe Vista
96150,South Lake Tahoe
96155,South Lake Tahoe
