zip,area_name
95202,Stockton
95203,Stockton
95204,Stockton
95205,Stockton
95206,Stockton
95207,Stockton
95209,Stockton
95210,Stockton
95211,Stockton
95212,Stockton
95215,Stockton
95219,Stockton
95220,Acampo
95227,Clements
95230,Farmington
95231,French Camp
95234,Holt
95236,Linden
95237,Lockeford
95240,Lodi
95242,Lodi
95258,Woodbridge
95304,Tracy
95320,Escalon
95330,Lathrop
95336,Manteca
95337,Manteca
95366,Ripon
95376,Tracy
95377,Tracy
95385,Vernalis
95391,Mountain House
95686,Thornton
