zip,area_name,metro
90001,Florence-Graham,los-angeles_long-beach_anaheim
90002,Los Angeles,los-angeles_long-beach_anaheim
90003,Los Angeles,los-angeles_long-beach_anaheim
90004,Los Angeles,los-angeles_long-beach_anaheim
90005,Los Angeles,los-angeles_long-beach_anaheim
90006,Los Angeles,los-angeles_long-beach_anaheim
90007,Los Angeles,los-angeles_long-beach_anaheim
90008,Los Angeles,los-angeles_long-beach_anaheim
90010,Los Angeles,los-angeles_long-beach_anaheim
90011,Los Angeles,los-angeles_long-beach_anaheim
90012,Los Angeles,los-angeles_long-beach_anaheim
90013,Los Angeles,los-angeles_long-beach_anaheim
90014,Los Angeles,los-angeles_long-beach_anaheim
90015,Los Angeles,los-angeles_long-beach_anaheim
90016,Los Angeles,los-angeles_long-beach_anaheim
90017,Los Angeles,los-angeles_long-beach_anaheim
90018,Los Angeles,los-angeles_long-beach_anaheim
90019,Los Angeles,los-angeles_long-beach_anaheim
90020,Los Angeles,los-angeles_long-beach_anaheim
90021,Los Angeles,los-angeles_long-beach_anaheim
90022,East Los Angeles,los-angeles_long-beach_anaheim
90023,Los Angeles,los-angeles_long-beach_anaheim
90024,Los Angeles,los-angeles_long-beach_anaheim
90025,Los Angeles,los-angeles_long-beach_anaheim
90026,Los Angeles,los-angeles_long-beach_anaheim
90027,Los Angeles,los-angeles_long-beach_anaheim
90028,Los Angeles,los-angeles_long-beach_anaheim
90029,Los Angeles,los-angeles_long-beach_anaheim
90031,Los Angeles,los-angeles_long-beach_anaheim
90032,Los Angeles,los-angeles_long-beach_anaheim
90033,Los Angeles,los-angeles_long-beach_anaheim
90034,Los Angeles,los-angeles_long-beach_anaheim
90035,Los Angeles,los-angeles_long-beach_anaheim
90036,Los Angeles,los-angeles_long-beach_anaheim
90037,Los Angeles,los-angeles_long-beach_anaheim
90038,Los Angeles,los-angeles_long-beach_anaheim
90039,Los Angeles,los-angeles_long-beach_anaheim
90040,Commerce,los-angeles_long-beach_anaheim
90041,Los Angeles,los-angeles_long-beach_anaheim
90042,Los Angeles,los-angeles_long-beach_anaheim
90043,Los Angeles,los-angeles_long-beach_anaheim
90044,Los Angeles,los-angeles_long-beach_anaheim
90045,Los Angeles,los-angeles_long-beach_anaheim
90046,Los Angeles,los-angeles_long-beach_anaheim
90047,Los Angeles,los-angeles_long-beach_anaheim
90048,Los Angeles,los-angeles_long-beach_anaheim
90049,Los Angeles,los-angeles_long-beach_anaheim
90056,Ladera Heights,los-angeles_long-beach_anaheim
90057,Los Angeles,los-angeles_long-beach_anaheim
90058,Los Angeles,los-angeles_long-beach_anaheim
90059,Los Angeles,los-angeles_long-beach_anaheim
90061,Los Angeles,los-angeles_long-beach_anaheim
90062,Los Angeles,los-angeles_long-beach_anaheim
90063,East Los Angeles,los-angeles_long-beach_anaheim
90064,Los Angeles,los-angeles_long-beach_anaheim
90065,Los Angeles,los-angeles_long-beach_anaheim
90066,Los Angeles,los-angeles_long-beach_anaheim
90067,Los Angeles,los-angeles_long-beach_anaheim
90068,Los Angeles,los-angeles_long-beach_anaheim
90069,West Hollywood,los-angeles_long-beach_anaheim
90071,Los Angeles,los-angeles_long-beach_anaheim
90073,Los Angeles,los-angeles_long-beach_anaheim
90077,Los Angeles,los-angeles_long-beach_anaheim
90079,Los Angeles,los-angeles_long-beach_anaheim
90089,Los Angeles,los-angeles_long-beach_anaheim
90090,Dodgertown,los-angeles_long-beach_anaheim
90094,Los Angeles,los-angeles_long-beach_anaheim
90095,Ucla,los-angeles_long-beach_anaheim
90201,Bell Gardens,los-angeles_long-beach_anaheim
90210,Beverly Hills,los-angeles_long-beach_anaheim
90211,Beverly Hills,los-angeles_long-beach_anaheim
90212,Beverly Hills,los-angeles_long-beach_anaheim
90220,Compton,los-angeles_long-beach_anaheim
90221,Compton,los-angeles_long-beach_anaheim
90222,Willowbrook,los-angeles_long-beach_anaheim
90230,Culver City,los-angeles_long-beach_anaheim
90232,Culver City,los-angeles_long-beach_anaheim
90240,Downey,los-angeles_long-beach_anaheim
90241,Downey,los-angeles_long-beach_anaheim
90242,Downey,los-angeles_long-beach_anaheim
